Accion,Precio,Fecha
BA.SABADELL,0.699,2021-11-01 22:42:06.178590
IAG,1.969,2021-11-01 22:42:06.201675
MAPFRE,1.97,2021-11-01 22:42:06.202989
CAIXABANK,2.487,2021-11-01 22:42:06.179102
B.SANTANDER,3.3435,2021-11-01 22:42:06.178460
TELEFONICA,3.8165,2021-11-01 22:42:06.206521
BANKINTER,4.909,2021-11-01 22:42:06.178744
BBVA,6.279,2021-11-01 22:42:06.178938
MELIA HOTELS,6.436,2021-11-01 22:42:06.203274
INM.COLONIAL,8.31,2021-11-01 22:42:06.202725
MERLIN,9.388,2021-11-01 22:42:06.203504
IBERDROLA,10.295,2021-11-01 22:42:06.202009
INDRA A,10.41,2021-11-01 22:42:06.202504
REPSOL,11.018,2021-11-01 22:42:06.205869
ACERINOX,12.245,2021-11-01 22:42:06.173102
ALMIRALL,13.21,2021-11-01 22:42:06.176688
SOLARIA,17.535,2021-11-01 22:42:06.206316
R.E.C.,18.22,2021-11-01 22:42:06.205630
ENAGAS,19.595,2021-11-01 22:42:06.185349
GRIFOLS CL.A,19.775,2021-11-01 22:42:06.201326
ENDESA,20.08,2021-11-01 22:42:06.188470
SIEMENS GAME,22.99,2021-11-01 22:42:06.206113
ACS,23.02,2021-11-01 22:42:06.174349
NATURGY,23.22,2021-11-01 22:42:06.205161
CIE AUTOMOT.,23.58,2021-11-01 22:42:06.182547
FERROVIAL,27.75,2021-11-01 22:42:06.191788
ARCELORMIT.,29.9,2021-11-01 22:42:06.178304
INDITEX,32.04,2021-11-01 22:42:06.202261
FLUIDRA,33.0,2021-11-01 22:42:06.193415
CELLNEX,53.14,2021-11-01 22:42:06.180909
AMADEUS,58.0,2021-11-01 22:42:06.177927
VISCOFAN,59.35,2021-11-01 22:42:06.206729
PHARMA MAR,60.42,2021-11-01 22:42:06.205417
AENA,145.65,2021-11-01 22:42:06.175535
ACCIONA,166.0,2021-11-01 22:42:06.171836
